ride_length_min,hour_of_day,distance_km,cluster
6.416666666666667,14,1.779127809394047,1
12.233333333333333,18,2.3782200852391595,1
14.633333333333333,15,1.2051445435497246,1
7.583333333333333,17,1.1974677044228226,1
20.383333333333333,13,3.7977008414321793,2
3.75,17,0.8912459348647394,1
10.7,17,1.166972573719956,1
11.966666666666667,16,2.8172152298980397,1
13.55,19,3.175563364294407,1
10.45,11,1.5862359951548972,0
3.6166666666666667,12,0.9477428931634397,0
15.25,18,1.9872888169255891,1
16.816666666666666,18,2.6461406964447756,1
13.816666666666666,16,2.43227396046858,1
8.283333333333333,23,1.3095162127363364,1
12.266666666666667,15,1.4182359618573628,1
22.066666666666666,16,1.6001634821689719,1
10.466666666666667,15,1.462629753326009,1
5.4,1,1.3858797603708464,0
15.3,6,3.0144621099955895,0
9.883333333333333,19,1.0094373699950285,1
8.233333333333333,17,1.2310945688729142,1
5.166666666666667,7,0.7814829353943192,0
3.2,16,0.7610055803165199,1
9.85,19,3.159787267265808,1
16.583333333333332,8,3.9864410580838125,0
0.85,20,0.0,1
5.2,19,0.9045993546504134,1
20.683333333333334,16,1.5587291101618295,1
46.3,20,0.0,1
4.416666666666667,15,0.8940778924553955,1
8.683333333333334,12,1.6923881648513068,0
9.233333333333333,7,2.0108416832278286,0
20.8,17,5.215577739415017,2
14.7,11,3.0372665014970996,0
9.366666666666667,0,1.938471532463531,0
8.7,18,1.4272819823581115,1
4.633333333333334,23,1.429815719548924,1
17.4,18,4.663278966530704,2
4.65,9,1.2514785825835657,0
68.98333333333333,11,0.4451230617778799,2
6.616666666666666,19,1.0248208117014572,1
17.883333333333333,11,2.9167905991485883,0
18.483333333333334,17,1.9264942377683356,1
10.35,18,3.533056421530542,1
10.65,12,2.2363129863788185,0
27.05,12,0.0,0
8.916666666666666,18,1.6301513816804931,1
10.883333333333333,14,3.3612484480927702,1
65.33333333333333,20,1.2489842987374984,2
21.316666666666666,17,3.793371620310258,2
38.7,16,0.6689501136027688,1
12.283333333333333,19,3.8472771851078096,1
20.266666666666666,20,5.1173826182775715,2
13.116666666666667,19,2.036051762796115,1
25.466666666666665,22,3.987836286073382,2
4.066666666666666,17,0.5482756068889557,1
9.316666666666666,22,3.515585517182105,1
15.2,20,3.2122797535935708,1
17.133333333333333,12,5.176719542942433,2
20.766666666666666,17,2.930897089989126,1
6.866666666666666,17,1.1325748121131423,1
10.766666666666667,22,0.0,1
18.716666666666665,1,5.642472968075991,0
16.133333333333333,19,3.488565276374074,1
23.133333333333333,14,3.483043487828372,2
34.4,15,1.2099441036361236,1
5.833333333333333,19,1.512379506983573,1
10.483333333333333,17,0.873246293426385,1
8.866666666666667,13,1.6754030220311422,0
22.216666666666665,19,4.5973148716716254,2
13.916666666666666,16,2.2789398218939754,1
62.46666666666667,7,8.577511531413155,2
1.75,23,0.6833598646704954,1
55.31666666666667,23,2.7637391796845576,2
4.266666666666667,17,1.4314898992873775,1
24.633333333333333,17,5.589227134007753,2
0.45,13,0.0,0
10.133333333333333,14,2.8184188653384252,1
12.033333333333333,16,2.1847653875948967,1
1.6,22,0.2251845454315203,1
7.433333333333334,18,1.767550503958112,1
15.1,23,3.723778047242316,1
5.383333333333334,16,1.1721200296958838,1
8.25,11,2.5178316362791704,0
10.65,22,2.3818775788393842,1
21.383333333333333,7,4.0247124621192025,0
9.233333333333333,21,1.5808904971078082,1
4.933333333333334,10,1.5160618181369936,0
3.85,13,0.8258594625482573,0
13.383333333333333,16,2.5216887226218314,1
29.65,13,5.435239056946872,2
7.7,6,1.7754742910958243,0
48.5,12,0.0,2
8.066666666666666,22,1.838597746482268,1
22.75,22,0.0,1
2.933333333333333,11,0.7243041385385501,0
22.116666666666667,8,4.148269696525091,0
6.833333333333333,12,2.4793305059932207,0
10.55,9,1.530524268471971,0
