ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length_s,ride_length_min,date,hour_of_day,day_of_week,month,is_weekend,coords_start_invalid,coords_end_invalid,distance_km,long_trip_flag,start_lat_r,start_lng_r,end_lat_r,end_lng_r,_tmp_lat_r,_tmp_lng_r,station_imputation_method,station_imputation_confidence,start_station_type,end_station_type,dist_to_nearest_known_m_end,dist_to_nearest_known_m_start,dist_to_assigned_m_end,dist_to_assigned_m_start,dist_to_second_m_end,dist_to_second_m_start,ambiguous_nearby_end,ambiguous_nearby_start,within_25m_end,within_25m_start,within_50m_end,within_50m_start,within_100m_end,within_100m_start,imputation_method_end,imputation_method_start,imputation_confidence_end,imputation_confidence_start,start_valid_station,end_valid_station
91235792BBB61D08,electric_bike,2022-11-25 10:31:24,2022-11-25 10:41:20,Canal St & Adams St,13011,Canal St & Adams St,13011,41.88,-87.64,41.88,-87.64,member,596.0,9.933333333333334,2022-11-25,10,Friday,November,False,False,False,0.0,False,41.88,-87.64,41.88,-87.64,41.88,-87.64,nearest_100m,low,station,station,1.124209778697984,1.124209778697984,2080.856487034045,2080.856487034045,3.7174455279569423,3.7174455279569423,False,False,True,True,True,True,True,True,nearest_100m,nearest_100m,low,low,True,True
3C8510CB92BF7248,electric_bike,2023-04-22 17:58:28,2023-04-22 18:01:19,Ellis Ave & 58th St,TA1309000011,Ellis Ave & 55th St,KA1504000076,41.79,-87.6,41.79430062054,-87.6014497734,member,171.0,2.85,2023-04-22,17,Saturday,April,True,False,False,0.4930801043253083,False,41.79,-87.6,41.794301,-87.60145,41.794301,-87.60145,nearest_100m,low,station,station,0.0461868142270644,77.68133523892087,15.734638836404075,181.79861781884028,0.1100923851545427,120.22668994543211,False,False,True,False,True,False,True,True,nearest_100m,nearest_100m,low,low,False,True
33C86DBCE8921E0E,electric_bike,2022-05-25 19:14:03,2022-05-25 19:16:54,Ellis Ave & 58th St,TA1309000011,Hyde Park Blvd & 55th St,768,41.79,-87.6,41.79,-87.59,member,171.0,2.85,2022-05-25,19,Wednesday,May,False,False,False,0.8290608330340927,False,41.79,-87.6,41.79,-87.59,41.79,-87.59,nearest_100m,low,station,station,0.0,77.68133523892087,829.0608330362022,181.79861781884028,231.88004044374676,120.22668994543211,False,False,True,False,True,False,True,True,nearest_100m,nearest_100m,low,low,False,True
B9F47C37D3B49B57,electric_bike,2022-06-13 18:21:21,2022-06-13 18:21:59,Wilton Ave & Diversey Pkwy,TA1306000014,Halsted St & Wrightwood Ave,TA1309000061,41.93236783333333,-87.6526975,41.93,-87.65,casual,38.0,0.6333333333333333,2022-06-13,18,Monday,June,False,False,False,0.3451322762329598,False,41.932368,-87.652698,41.93,-87.65,41.93,-87.65,nearest_100m,low,station,station,87.95662537194076,0.0453229873181063,127.3397721035204,8.637450671492415,95.03045629693784,0.1254588924649016,True,False,False,True,False,True,True,True,nearest_100m,nearest_100m,low,low,True,False
A4DC498B1290FDAF,electric_bike,2022-05-28 13:19:38,2022-05-28 13:24:16,New St & Illinois St,TA1306000013,New St & Illinois St,TA1306000013,41.89,-87.62,41.89,-87.62,member,278.0,4.633333333333334,2022-05-28,13,Saturday,May,True,False,False,0.0,False,41.89,-87.62,41.89,-87.62,41.89,-87.62,nearest_100m,low,station,station,25.416315844219778,25.416315844219778,199.1744488447523,199.1744488447523,32.10639446241349,32.10639446241349,False,False,False,False,True,True,True,True,nearest_100m,nearest_100m,low,low,True,True
2759D3B0A0243971,electric_bike,2022-09-24 00:19:16,2022-09-24 00:28:58,,,Milwaukee Ave & Fullerton Ave,428,41.91,-87.69,41.93,-87.7,casual,582.0,9.7,2022-09-24,0,Saturday,September,True,False,False,2.372820693362668,False,41.91,-87.69,41.93,-87.7,41.93,-87.7,nearest_100m,low,no_station,station,0.0,,0.0,,211.57012159522532,,False,,True,,True,,True,,nearest_100m,,low,,False,True
92E1EBCC26C4A9D6,electric_bike,2022-05-04 11:14:45,2022-05-04 11:19:45,Ellis Ave & 58th St,TA1309000011,Lake Park Ave & 53rd St,KA1503000059,41.79,-87.6,41.79949429373,-87.5864498959,member,300.0,5.0,2022-05-04,11,Wednesday,May,False,False,False,1.5415408920362328,False,41.79,-87.6,41.799494,-87.58645,41.799494,-87.58645,nearest_100m,low,station,station,0.0337819984246862,77.68133523892087,19518.36607751829,181.79861781884028,0.1080868049894748,120.22668994543211,False,False,True,False,True,False,True,True,nearest_100m,nearest_100m,low,low,False,True
532B9537B3F51F3B,electric_bike,2022-08-19 17:14:58,2022-08-19 18:34:39,N Clark St & W Elm St,20249.0,Dayton St & North Ave,13058,41.9,-87.63,41.91,-87.65,member,4781.0,79.68333333333334,2022-08-19,17,Friday,August,False,False,False,1.9939739069150275,False,41.9,-87.63,41.91,-87.65,41.91,-87.65,nearest_100m,low,station,station,53.2672077824414,0.0,444.3976381151,0.0,58.480679909137606,28.52218633579553,True,False,False,True,False,True,True,True,nearest_100m,nearest_100m,low,low,True,False
3FB4E51D5B4ED5D0,electric_bike,2022-10-14 15:23:26,2022-10-14 15:28:59,May St & Taylor St,13160,Canal St & Adams St,13011,41.869412184,-87.655429125,41.88,-87.64,member,333.0,5.55,2022-10-14,15,Friday,October,False,False,False,1.737241718016443,False,41.869412,-87.655429,41.88,-87.64,41.88,-87.64,nearest_100m,low,station,station,1.124209778697984,0.0229289591568613,2080.856487034045,274.3155201708533,3.7174455279569423,0.0752863011728855,False,False,True,True,True,True,True,True,nearest_100m,nearest_100m,low,low,True,True
D2ED64F3E473C575,electric_bike,2022-11-18 09:21:45,2022-11-18 09:28:08,LaSalle St & Adams St,KA1503000034,Desplaines St & Jackson Blvd,15539,41.87,-87.63,41.87811890091227,-87.64394760131836,member,383.0,6.383333333333334,2022-11-18,9,Friday,November,False,False,False,1.4658205879437427,False,41.87,-87.63,41.878119,-87.643948,41.878119,-87.643948,nearest_100m,low,station,station,0.0347980319360958,54.71579502924353,34.30606379160079,1317.9801433120017,0.3878567328277075,79.84353016619895,False,False,True,False,True,False,True,True,nearest_100m,nearest_100m,low,low,False,True
