ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length_s,ride_length_min,date,hour_of_day,day_of_week,month,is_weekend,coords_start_invalid,coords_end_invalid,distance_km,long_trip_flag
EC2DE40644C6B0F4,classic_bike,2022-05-23 23:06:58,2022-05-23 23:40:19,Wabash Ave & Grand Ave,TA1307000117,Halsted St & Roscoe St,TA1309000025,41.891466,-87.626761,41.94367,-87.64895,member,2001.0,33.35,2022-05-23,23,Monday,May,False,False,False,6.088234646185071,False
1C31AD03897EE385,classic_bike,2022-05-11 08:53:28,2022-05-11 09:31:22,DuSable Lake Shore Dr & Monroe St,13300,Field Blvd & South Water St,15534,41.880958,-87.616743,41.88634906269,-87.6175165471,member,2274.0,37.9,2022-05-11,8,Wednesday,May,False,False,False,0.6028695881498604,False
1542FBEC830415CF,classic_bike,2022-05-26 18:36:28,2022-05-26 18:58:18,Clinton St & Madison St,TA1305000032,Wood St & Milwaukee Ave,13221,41.882242,-87.641066,41.907655,-87.672552,member,1310.0,21.83333333333333,2022-05-26,18,Thursday,May,False,False,False,3.8440732422319335,False
6FF59852924528F8,classic_bike,2022-05-10 07:30:07,2022-05-10 07:38:49,Clinton St & Madison St,TA1305000032,Clark St & Randolph St,TA1305000030,41.882242,-87.641066,41.884576228,-87.63188991,member,522.0,8.7,2022-05-10,7,Tuesday,May,False,False,False,0.8027625230561429,False
483C52CAAE12E3AC,classic_bike,2022-05-10 17:31:56,2022-05-10 17:36:57,Clinton St & Madison St,TA1305000032,Morgan St & Lake St,TA1306000015,41.882242,-87.641066,41.88577925240433,-87.65102460980414,member,301.0,5.016666666666667,2022-05-10,17,Tuesday,May,False,False,False,0.91343760405788,False
C0A3AA5A614DCE01,classic_bike,2022-05-04 14:48:55,2022-05-04 14:56:04,Carpenter St & Huron St,13196,Sangamon St & Washington Blvd,13409,41.894556,-87.653449,41.883165,-87.6511,member,429.0,7.15,2022-05-04,14,Wednesday,May,False,False,False,1.2814596951245405,False
F2AF43A242DF4555,classic_bike,2022-05-27 12:41:48,2022-05-27 12:50:41,Noble St & Milwaukee Ave,13290,Wood St & Augusta Blvd,657,41.90068,-87.6626,41.899181,-87.6722,member,533.0,8.883333333333333,2022-05-27,12,Friday,May,False,False,False,0.8118274687042485,False
377BE1F5F0E399CA,docked_bike,2022-05-29 19:19:24,2022-05-29 19:31:34,Halsted St & Wrightwood Ave,TA1309000061,Southport Ave & Clybourn Ave,TA1309000030,41.929143,-87.649077,41.920771,-87.663712,casual,730.0,12.166666666666666,2022-05-29,19,Sunday,May,True,False,False,1.5272819196539784,False
B136E0C969773F59,classic_bike,2022-05-16 17:48:44,2022-05-16 18:05:26,Clinton St & Madison St,TA1305000032,Clybourn Ave & Division St,TA1307000115,41.882242,-87.641066,41.904613,-87.640552,member,1002.0,16.7,2022-05-16,17,Monday,May,False,False,False,2.4879055041733955,False
75F6A50A05E0AA18,electric_bike,2022-05-11 07:29:29,2022-05-11 07:30:57,Southport Ave & Waveland Ave,13235,N Southport Ave & W Newport Ave,20257.0,41.948067,-87.6640125,41.94,-87.66,member,88.0,1.4666666666666666,2022-05-11,7,Wednesday,May,False,False,False,0.9564293677727094,False
